id,code,name,hex
3774,3774,Desert Sand Vy Lt,#f3e1d7
3776,3776,Mahogany Light,#cf7939
3777,3777,Terra Cotta Vy Dk,#863022
3778,3778,Terra Cotta Light,#d98978
3779,3779,Rosewood Ult Vy Lt,#f8cac8
3781,3781,Mocha Brown Dk,#6b5743
3782,3782,Mocha Brown Lt,#d2bca6
3787,3787,Brown Gray Dark,#625d50
3790,3790,Beige Gray Ult Dk,#7f6a55
3799,3799,Pewter Gray Vy Dk,#424242
3801,3801,Melon Very Dark,#e74967
3802,3802,Antique Mauve Vy Dk,#714149
3803,3803,Mauve Dark,#ab3357
3804,3804,Cyclamen Pink Dark,#e02876
3805,3805,Cyclamen Pink,#f3478b
3806,3806,Cyclamen Pink Light,#ff8cae
3807,3807,Cornflower Blue,#60678c
3808,3808,Turquoise Ult Vy Dk,#366970
3809,3809,Turquoise Vy Dark,#3f7c85
3810,3810,Turquoise Dark,#488e9a
3811,3811,Turquoise Very Light,#bce3e6
3812,3812,Sea Green Vy Dk,#2f8c84
3813,3813,Blue Green Lt,#b2d4bd
3814,3814,Aquamarine,#508b7d
3815,3815,Celadon Green Dk,#477759
3816,3816,Celadon Green,#65a57d
3817,3817,Celadon Green Lt,#99c3aa
3818,3818,Emerald Grn Ult V Dk,#115a3b
3819,3819,Moss Green Lt,#e0e868
3820,3820,Straw Dark,#dfb65f
3821,3821,Straw,#f3ce75
3822,3822,Straw Light,#f6dc98
3823,3823,Yellow Ultra Pale,#fffde3
3824,3824,Apricot Light,#fecdc2
3825,3825,Pumpkin Pale,#fdbd96
3826,3826,Golden Brown,#ad7239
3827,3827,Golden Brown Pale,#f7bb77
3828,3828,Hazelnut Brown,#b78b61
3829,3829,Old Gold Vy Dark,#a98204
3830,3830,Terra Cotta,#b95544
3831,3831,Raspberry Dark,#b32f48
3832,3832,Raspberry Medium,#db556e
3833,3833,Raspberry Light,#ea8699
3834,3834,Grape Dark,#72375d
3835,3835,Grape Medium,#946083
3836,3836,Grape Light,#ba91aa
3837,3837,Lavender Ultra Dark,#6c3a6e
3838,3838,Lavender Blue Dark,#5c7294
3839,3839,Lavender Blue Med,#7b8eab
3840,3840,Lavender Blue Light,#b0c0da
3841,3841,Baby Blue Pale,#cddfed
3842,3842,Wedgewood Vry Dk,#32667c
3843,3843,Electric Blue,#14aad0
3844,3844,Turquoise Bright Dark,#12aeba
3845,3845,Turquoise Bright Med,#04c4ca
3846,3846,Turquoise Bright Light,#06e3e6
3847,3847,Teal Green Dark,#347d75
3848,3848,Teal Green Med,#559392
3849,3849,Teal Green Light,#52b3a4
3850,3850,Green Bright Dk,#378477
3851,3851,Green Bright Lt,#49b3a1
3852,3852,Straw Very Dark,#cd9d37
3853,3853,Autumn Gold Dk,#f29746
3854,3854,Autumn Gold Med,#f2af68
3855,3855,Autumn Gold Lt,#fad396
3856,3856,Mahogany Ult Vy Lt,#ffd3b5
3857,3857,Rosewood Dark,#68251a
3858,3858,Rosewood Med,#964a3f
3859,3859,Rosewood Light,#ba8b7c
3860,3860,Cocoa,#7d5d57
3861,3861,Cocoa Light,#a68881
3862,3862,Mocha Beige Dark,#8a6e4e
3863,3863,Mocha Beige Med,#a4835c
3864,3864,Mocha Beige Light,#cbb69c
3865,3865,Winter White,#f9f7f1
3866,3866,Mocha Brn Ult Vy Lt,#faf6f0
5200,B5200,Pearlescent White Light,#ffffff
5201,ECRU,Ecru,#f0eada
5202,BLANC,Blanc,#fcfbf8
